Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	#	#	#	0.362;0.490	#	#	#	#	#	#	#	#	-0.250;0.386	-0.217;0.402	#	-0.697;0.836	#	#	#	#	#	#	#	#	#	0.527;1.190	#	#	010100100000000100001010100000001000000000000000000000000000000000000000000000010100000000000000101000000000001100000100000010000010000000100000000000000000000000000000000000	0.520	0.937	2	71.39	9883	120	0.15		28	56
#	#	#	#	#	#	#	#	#	#	0.185;0.663	#	#	#	-102.191;-20.348	#	#	#	-0.155;0.445	#	#	#	#	#	#	#	#	#	#	#	#	0.283;0.668	#	010000000000010000010001010001010101000010000000000000000000000001000010110000010000000000000010000000000000010010000000000000000000000000000000000000000000000000010000000000	0.154	0.829	3	655.74	9893	130	0.12		28	7903
#	#	#	0.164;0.531	#	#	#	#	#	0.039;0.211	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.165;2.039	#	#	#	010101100101000100100100000001000000000000000000000000000000100000010100000000010000000100001010101010101000110100000100000000000000000000000010000000000000000000000000000000	0.094	0.790	1	617.73	9949	186	0.09		29	8556
-1.786;1.786	#	#	#	#	-0.260;0.260	#	#	#	#	#	#	#	#	#	#	#	#	#	-10211091111130200616627379200280958891656641127805762814995014456167031994889107762331135907481578966965136018750498844088985271891210821077163960191607977642058756044881920.000;32213113131332220430398642546593862985744946986025579646015414038304586180553673755895540304887483631595292946714512375221710678758005329676235969400699379724708359673217024.000	#	#	#	#	#	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	0.180	0.842	1	58.63	9966	203	0.09		29	84
#	-0.005;0.032	#	#	#	#	#	#	#	0.109;0.344	#	-0.005;0.036	#	#	#	#	#	#	-0.202;0.490	-3121301313143030234839216063471475100193173999520421892202549363975143944591757147606396950586918591360813081271243491057159946515580229281348967356568698301005491869843456.000;23141301313143230413319749779831986062007809118565647250327715894507286354491869506533926418974882064890881040207096787563747070552982149756470036676764427687945579765170176.000	#	#	#	#	#	#	#	#	0.032;0.438	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	71.50	9825	413	0.18		27	54
#	-0.005;0.032	#	#	#	-0.467;0.647	#	#	#	0.109;0.344	#	-0.005;0.036	#	#	#	#	#	#	-0.202;0.490	#	#	#	#	#	#	#	-0.007;0.032	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	1	71.50	9825	413	0.18		27	54
#	#	#	#	#	#	#	#	#	#	0.271;0.798	#	#	0.035;0.489	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	100001010101101001010101000110000101000000000000010000000000000001000000101000010000000000000000010100001100110010000100000000000000010000001010000100010000000000000000000000	0.090	0.786	1	620.95	9955	543	0.06		27	9106
-1.786;1.786	#	#	#	#	-0.260;0.260	#	#	#	#	#	#	#	#	#	#	#	#	#	-10211091111130200616627379200280958891656641127805762814995014456167031994889107762331135907481578966965136018750498844088985271891210821077163960191607977642058756044881920.000;32213113131332220430398642546593862985744946986025579646015414038304586180553673755895540304887483631595292946714512375221710678758005329676235969400699379724708359673217024.000	#	#	-2.684;2.684	#	#	#	#	#	#	#	#	#	#	011001011010101010011000001010010100000000000000000000000000000110000100110000010000000000010001010100010100010010101000000000000000000010000100000110000000000001000000001000	1.000	1.000	1	42.35	9966	554	0.12		27	27
#	-0.005;0.023	#	#	#	#	#	#	#	0.109;0.344	#	-0.005;0.036	#	#	#	#	#	-0.202;0.370	-0.202;0.490	#	#	#	#	0.106;0.316	#	#	#	#	#	#	#	#	#	010010000000000100000000000001010000000000000000000000000000000000000100100000010000000000010000000000000000110110000100000000000000000000000000000000000000000000000000000000	0.520	0.937	2	71.60	9825	764	0.18		26	52
#	#	#	-0.086;0.482	#	#	#	-1.002;2.911	#	#	#	#	#	#	#	0.325;1.294	#	0.135;0.780	0.048;0.555	#	-0.183;0.947	#	#	#	0.098;4.404	#	#	#	#	#	#	#	#	101000010001000001010101010110100101000000000000010000000000000000000000101000010000000000001011010100001000110010000100000000000000010000001010010000010000000000000000000000	0.084	0.781	1	728.83	9840	779	0.21		26	4122
