att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-1.147;-0.157	0.194;1.840	100000000000000	0.028	0.489	7	188.93	399996	322135	1.00		1001	4452
0.426;1.397	0.205;0.852	000000000010000	0.127	0.662	4	160.50	399978	333573	1.00		380	2185
0.167;1.109	0.143;0.737	000001110010000	0.203	0.727	1	201.38	399887	340429	1.00		426	6050
#	-1.172;0.281	100001001011000	0.086	0.613	1	216.67	399835	347683	0.50		374	41165
-0.632;0.244	-2.316;-0.298	001001001000000	0.073	0.593	2	241.30	399989	352489	1.00		474	11553
-0.612;0.238	0.122;2.726	000000000010010	0.028	0.488	1	211.00	399953	363392	1.00		679	6696
-1.317;-0.728	-1.333;-0.240	000000000100000	0.355	0.813	1	133.58	399971	363499	1.00		574	834
-1.610;-0.015	-0.926;0.546	100101001101000	0.062	0.574	2	213.64	399929	367243	1.00		374	15374
-0.180;1.432	-0.911;-0.164	000001001000101	0.182	0.711	2	222.59	399987	368532	1.00		225	9184
-0.333;0.883	0.614;3.230	000010000010000	0.220	0.739	1	157.60	399983	373156	1.00		691	1687
-0.057;1.048	-0.516;0.864	000001011010000	0.147	0.681	2	210.48	399939	374076	1.00		185	11495
-0.566;1.214	-1.230;-0.252	001001001000100	0.098	0.628	4	225.26	399749	374585	1.00		144	9270
-0.617;-0.122	-0.871;0.374	110101001011000	0.129	0.664	2	232.60	399964	375308	1.00		142	6823
-1.106;0.227	-0.997;-0.154	001101001101000	0.066	0.580	3	222.16	399818	378149	1.00		186	7974
-1.733;-0.455	-0.779;-0.109	000100000100000	0.048	0.545	2	174.46	399997	378328	1.00		124	2108
#	-0.764;0.241	110001001011000	0.070	0.588	2	213.88	399972	378502	0.50		183	15655
-0.306;0.284	-2.378;-0.192	001001001001101	0.302	0.787	2	256.62	399950	378901	1.00		573	4679
#	-0.905;0.176	000001011011101	0.114	0.648	1	211.35	399986	379117	0.50		1075	15294
#	0.482;3.230	000010000010000	0.056	0.562	1	165.77	399983	379263	0.50		535	2550
-0.609;1.332	-1.076;0.019	101001011011100	0.160	0.693	2	220.82	399903	379597	1.00		146	11564
-0.740;0.098	-1.009;0.218	101101001011000	0.103	0.635	3	222.90	399753	379932	1.00		86	8981
-0.020;1.687	0.366;0.960	000010100010000	0.058	0.565	1	170.02	399510	380637	1.00		82	2355
0.064;0.654	0.372;0.870	000000100010000	0.087	0.614	1	178.81	399571	381397	1.00		53	1624
-0.546;0.425	#	001001001001101	0.050	0.549	1	225.85	399950	381435	0.50		504	13438
-0.442;0.330	0.158;0.733	100001010010010	0.264	0.766	2	213.90	399947	381549	1.00		921	3188
-1.225;0.330	0.007;0.733	100001010010010	0.141	0.676	3	212.60	399947	381602	1.00		918	4910
-1.317;-0.728	-2.188;-0.240	000000000100000	0.350	0.811	1	133.58	399971	381993	1.00		282	412
