Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	AveGenerality	Time(min)
1000	37	53	0.234	0.546	0.28	0.01
2000	73	112	0.188	0.616	0.20	0.02
3000	110	172	0.179	0.63	0.17	0.05
4000	141	234	0.162	0.657	0.15	0.08
5000	162	270	0.162	0.658	0.15	0.12
6000	190	321	0.162	0.657	0.14	0.16
7000	215	369	0.161	0.658	0.13	0.21
8000	241	400	0.163	0.656	0.12	0.26
9000	251	400	0.161	0.658	0.12	0.32
10000	253	400	0.161	0.658	0.11	0.37
11000	255	400	0.163	0.656	0.10	0.42
12000	256	400	0.162	0.659	0.11	0.46
13000	257	400	0.16	0.66	0.10	0.51
14000	257	400	0.161	0.658	0.10	0.56
15000	250	400	0.162	0.66	0.10	0.60
16000	251	400	0.11	0.742	0.10	0.64
17000	255	400	0.099	0.758	0.10	0.69
18000	254	400	0.1	0.756	0.10	0.73
19000	253	400	0.098	0.765	0.10	0.77
20000	264	400	0.083	0.795	0.10	0.81
21000	268	400	0.062	0.829	0.09	0.85
22000	273	400	0.062	0.828	0.10	0.90
23000	265	400	0.062	0.829	0.09	0.94
24000	266	400	0.059	0.838	0.10	0.98
25000	271	400	0.057	0.843	0.10	1.02
26000	279	400	0.052	0.857	0.09	1.06
27000	286	400	0.048	0.87	0.10	1.10
28000	285	400	0.047	0.873	0.10	1.14
29000	283	400	0.047	0.872	0.10	1.17
30000	282	400	0.047	0.875	0.10	1.21
31000	287	400	0.043	0.884	0.11	1.25
32000	288	400	0.043	0.886	0.10	1.29
33000	288	400	0.042	0.888	0.10	1.33
34000	285	400	0.044	0.884	0.10	1.37
35000	281	400	0.043	0.886	0.10	1.40
36000	280	400	0.043	0.886	0.10	1.44
37000	279	400	0.043	0.886	0.10	1.48
38000	281	400	0.043	0.884	0.10	1.51
39000	287	400	0.043	0.886	0.11	1.55
40000	282	400	0.042	0.888	0.10	1.58
41000	282	400	0.044	0.884	0.10	1.62
42000	286	400	0.043	0.886	0.09	1.65
43000	289	400	0.043	0.886	0.09	1.68
44000	291	400	0.043	0.886	0.09	1.72
45000	286	400	0.043	0.884	0.09	1.75
46000	282	400	0.043	0.886	0.09	1.79
47000	283	400	0.042	0.888	0.09	1.82
48000	278	400	0.044	0.884	0.09	1.85
49000	283	400	0.043	0.886	0.09	1.89
50000	285	400	0.043	0.886	0.09	1.92
51000	287	400	0.043	0.886	0.09	1.95
52000	290	400	0.042	0.889	0.09	1.98
53000	293	400	0.043	0.886	0.09	2.02
54000	288	400	0.041	0.89	0.08	2.05
55000	291	400	0.042	0.889	0.08	2.09
56000	299	400	0.04	0.894	0.08	2.12
57000	297	400	0.04	0.893	0.09	2.16
58000	301	400	0.043	0.886	0.09	2.19
59000	307	400	0.043	0.884	0.09	2.22
60000	307	400	0.043	0.886	0.09	2.26
61000	308	400	0.042	0.888	0.09	2.29
62000	307	400	0.044	0.884	0.09	2.33
63000	305	400	0.041	0.892	0.09	2.36
64000	302	400	0.04	0.893	0.08	2.40
65000	292	400	0.039	0.897	0.09	2.43
66000	296	400	0.038	0.899	0.09	2.47
67000	297	400	0.038	0.9	0.10	2.50
68000	298	400	0.037	0.902	0.10	2.54
69000	304	400	0.039	0.897	0.10	2.57
70000	306	400	0.038	0.9	0.10	2.61
71000	305	400	0.038	0.9	0.10	2.65
72000	303	400	0.038	0.9	0.10	2.68
73000	299	400	0.038	0.899	0.10	2.72
74000	303	400	0.038	0.9	0.09	2.75
75000	301	400	0.037	0.902	0.10	2.79
76000	292	400	0.039	0.899	0.09	2.82
77000	302	400	0.038	0.9	0.10	2.86
78000	299	400	0.038	0.9	0.10	2.89
79000	304	400	0.038	0.9	0.10	2.93
80000	302	400	0.038	0.899	0.10	2.96
81000	304	400	0.038	0.9	0.11	3.00
82000	305	400	0.037	0.902	0.10	3.03
83000	304	400	0.039	0.899	0.11	3.07
84000	304	400	0.038	0.9	0.10	3.10
85000	291	400	0.038	0.9	0.10	3.14
86000	290	400	0.038	0.9	0.09	3.17
87000	295	400	0.038	0.899	0.10	3.21
88000	289	400	0.038	0.9	0.09	3.24
89000	292	400	0.037	0.902	0.10	3.27
90000	294	400	0.039	0.899	0.10	3.31
91000	295	400	0.038	0.9	0.10	3.34
92000	299	400	0.038	0.9	0.10	3.38
93000	306	400	0.038	0.9	0.10	3.41
94000	312	400	0.038	0.899	0.10	3.45
95000	308	400	0.038	0.9	0.10	3.48
96000	309	400	0.037	0.902	0.09	3.52
97000	311	400	0.039	0.899	0.09	3.55
98000	318	400	0.038	0.9	0.10	3.59
99000	319	400	0.038	0.9	0.10	3.63
100000	320	400	0.038	0.9	0.10	3.66
101000	320	400	0.038	0.899	0.10	3.70
102000	313	400	0.038	0.9	0.10	3.74
103000	317	400	0.037	0.902	0.10	3.78
104000	317	400	0.039	0.899	0.10	3.82
105000	308	400	0.038	0.9	0.10	3.85
106000	300	400	0.038	0.9	0.09	3.89
107000	299	400	0.038	0.9	0.09	3.93
108000	293	400	0.038	0.899	0.09	3.96
109000	296	400	0.038	0.9	0.09	4.00
110000	301	400	0.037	0.902	0.10	4.04
111000	301	400	0.039	0.899	0.09	4.08
112000	296	400	0.038	0.9	0.09	4.12
113000	292	400	0.038	0.9	0.08	4.16
114000	296	400	0.038	0.9	0.09	4.20
115000	294	400	0.038	0.899	0.09	4.24
116000	294	400	0.038	0.9	0.09	4.28
117000	301	400	0.037	0.902	0.09	4.31
118000	305	400	0.039	0.899	0.09	4.35
119000	306	400	0.038	0.9	0.10	4.39
120000	305	400	0.038	0.9	0.10	4.43
121000	309	400	0.038	0.9	0.10	4.48
122000	306	400	0.038	0.899	0.10	4.52
123000	302	400	0.038	0.9	0.10	4.56
124000	294	400	0.037	0.902	0.10	4.59
125000	292	400	0.039	0.899	0.09	4.63
126000	292	400	0.038	0.9	0.09	4.66
127000	292	400	0.038	0.9	0.09	4.70
128000	292	400	0.038	0.9	0.09	4.74
129000	294	400	0.038	0.899	0.09	4.77
130000	299	400	0.038	0.9	0.09	4.81
131000	298	400	0.037	0.902	0.09	4.84
132000	306	400	0.039	0.899	0.10	4.88
133000	303	400	0.038	0.9	0.09	4.92
134000	300	400	0.038	0.9	0.10	4.95
135000	297	400	0.038	0.9	0.10	4.99
136000	299	400	0.038	0.899	0.10	5.03
137000	295	400	0.038	0.9	0.09	5.06
138000	296	400	0.037	0.902	0.09	5.10
139000	295	400	0.039	0.899	0.09	5.13
140000	297	400	0.038	0.9	0.10	5.17
141000	299	400	0.038	0.9	0.09	5.21
142000	301	400	0.038	0.9	0.10	5.25
143000	305	400	0.038	0.899	0.10	5.28
144000	305	400	0.038	0.9	0.10	5.32
145000	314	400	0.037	0.902	0.10	5.36
146000	306	400	0.039	0.899	0.10	5.40
147000	309	400	0.038	0.9	0.10	5.44
148000	308	400	0.038	0.9	0.10	5.48
149000	307	400	0.038	0.9	0.10	5.52
150000	304	400	0.038	0.899	0.10	5.55
