Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	53	79	0.179	0.539	0.24	0.01	1.977	0.485	0.185
2000	105	164	0.125	0.678	0.19	0.04	2.008	0.618	0.169
3000	139	247	0.137	0.681	0.16	0.08	1.931	0.658	0.169
4000	166	300	0.15	0.658	0.15	0.13	1.92	0.63	0.169
5000	212	388	0.134	0.695	0.14	0.19	1.958	0.641	0.169
6000	255	471	0.108	0.743	0.14	0.25	2.015	0.662	0.168
7000	277	500	0.107	0.749	0.12	0.33	2.023	0.656	0.193
8000	278	500	0.107	0.742	0.11	0.41	2.028	0.652	0.284
9000	290	500	0.107	0.742	0.10	0.49	2.028	0.652	0.435
10000	300	500	0.103	0.746	0.10	0.56	2.031	0.659	0.435
11000	312	500	0.104	0.742	0.10	0.63	2.028	0.66	0.435
12000	306	500	0.103	0.745	0.10	0.71	2.034	0.657	0.435
13000	303	500	0.101	0.743	0.09	0.78	2.031	0.666	0.435
14000	305	500	0.098	0.753	0.09	0.86	2.042	0.664	0.435
15000	312	500	0.102	0.74	0.09	0.93	2.033	0.662	0.426
16000	308	500	0.099	0.746	0.09	0.99	2.04	0.664	0.012
17000	313	500	0.095	0.753	0.08	1.06	2.033	0.681	0.014
18000	317	500	0.093	0.757	0.09	1.13	2.029	0.691	0.000
19000	323	500	0.092	0.759	0.08	1.19	2.026	0.698	0.000
20000	327	500	0.093	0.758	0.09	1.26	2.024	0.698	0.012
21000	333	500	0.087	0.774	0.09	1.32	2.032	0.708	0.012
22000	349	500	0.07	0.798	0.09	1.39	2.034	0.756	0.017
23000	359	500	0.068	0.806	0.09	1.46	2.046	0.751	0.000
24000	361	500	0.067	0.806	0.09	1.53	2.044	0.755	0.006
25000	371	500	0.063	0.816	0.09	1.60	2.035	0.776	0.004
26000	370	500	0.061	0.824	0.09	1.67	2.039	0.779	0.009
27000	370	500	0.053	0.847	0.09	1.74	2.045	0.797	0.007
28000	374	500	0.049	0.857	0.09	1.81	2.045	0.807	0.014
29000	370	500	0.046	0.864	0.09	1.88	2.05	0.811	0.008
30000	372	500	0.045	0.868	0.09	1.94	2.05	0.815	0.018
31000	382	500	0.042	0.875	0.09	2.01	2.061	0.812	0.005
32000	379	500	0.046	0.866	0.09	2.08	2.04	0.823	0.026
33000	381	500	0.043	0.873	0.09	2.15	2.06	0.81	0.005
34000	373	500	0.042	0.876	0.08	2.21	2.059	0.815	0.004
35000	366	500	0.042	0.874	0.09	2.28	2.061	0.813	0.000
36000	365	500	0.034	0.899	0.09	2.34	2.079	0.82	0.004
37000	366	500	0.039	0.884	0.09	2.40	2.08	0.804	0.004
38000	373	500	0.034	0.897	0.09	2.47	2.08	0.817	0.000
39000	372	500	0.034	0.899	0.09	2.53	2.079	0.82	0.000
40000	371	500	0.034	0.897	0.09	2.59	2.072	0.825	0.000
41000	376	500	0.037	0.89	0.09	2.65	2.072	0.818	0.008
42000	381	500	0.035	0.894	0.10	2.71	2.069	0.825	0.000
43000	366	500	0.033	0.901	0.09	2.77	2.069	0.832	0.037
44000	369	500	0.029	0.912	0.09	2.83	2.081	0.831	0.020
45000	368	500	0.027	0.918	0.09	2.89	2.072	0.846	0.037
46000	360	500	0.022	0.935	0.08	2.94	2.073	0.862	0.000
47000	366	500	0.021	0.936	0.08	3.00	2.064	0.872	0.011
48000	373	500	0.021	0.936	0.08	3.06	2.073	0.863	0.004
49000	370	500	0.02	0.939	0.08	3.11	2.075	0.864	0.004
50000	369	500	0.019	0.943	0.08	3.17	2.066	0.877	0.000
51000	367	500	0.019	0.942	0.07	3.23	2.076	0.866	0.000
52000	360	500	0.02	0.941	0.07	3.28	2.074	0.867	0.000
53000	357	500	0.018	0.947	0.07	3.34	2.075	0.872	0.000
54000	355	500	0.017	0.948	0.07	3.39	2.073	0.875	0.000
55000	356	500	0.018	0.947	0.06	3.45	2.071	0.876	0.005
56000	365	500	0.019	0.943	0.06	3.50	2.076	0.867	0.008
57000	359	500	0.02	0.942	0.06	3.55	2.067	0.874	0.004
58000	366	500	0.016	0.952	0.06	3.61	2.07	0.881	0.017
59000	373	500	0.016	0.951	0.07	3.66	2.077	0.874	0.000
60000	376	500	0.019	0.942	0.07	3.72	2.069	0.873	0.009
61000	374	500	0.016	0.953	0.07	3.78	2.073	0.88	0.004
