Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-96.823;-71.575	#	#	0.233;0.306	#	#	#	#	0.746;1.134	1.476;9.376	#	#	#	0.000;0.101	#	#	#	0.061;0.951	#	#	#	#	001100	0.514	0.875	1	262.38	49685	28	0.27		256	511
-92.605;-68.641	-0.031;0.101	#	0.183;0.340	#	#	-0.128;0.199	0.199;0.417	#	#	#	#	#	#	0.004;0.011	-0.908;0.442	0.355;0.975	-0.357;1.423	0.136;0.644	#	-0.065;1.965	#	001110	0.102	0.633	1	298.80	49755	98	0.50		128	637
#	#	#	#	#	#	#	-0.019;0.261	#	#	-0.067;0.242	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	#	#	0.332;1.649	#	000001	1.000	1.000	1	184.69	49756	99	0.27		128	128
#	#	#	#	#	#	#	#	-0.316;0.516	3.133;11.403	#	#	#	-0.004;0.108	0.018;0.024	#	#	#	0.309;0.695	0.132;0.187	0.482;1.745	#	110001	0.403	0.834	1	169.94	49795	138	0.32		128	255
#	0.071;0.129	#	#	#	#	#	#	#	-1.398;1.244	#	#	#	#	#	#	-0.132;0.404	0.319;1.552	0.097;0.728	0.077;0.114	#	#	100001	0.023	0.746	1	26.54	169	169	0.27		0	0
#	#	0.039;0.135	#	#	1.215;8.306	#	-0.036;0.148	#	2.546;6.495	-0.065;0.256	0.205;0.592	#	#	0.005;0.013	0.492;1.572	-0.154;0.365	1.521;3.644	#	0.104;0.150	0.333;1.101	#	010000	1.000	1.000	2	220.12	49893	236	0.55		128	128
-75.528;-57.126	#	#	#	0.900;1.482	-0.656;2.589	#	#	#	#	#	0.313;0.482	0.279;0.543	-0.007;0.006	#	#	#	#	#	0.081;0.143	-0.660;1.343	0.800;1.338	100001	0.075	0.944	1	12.67	257	257	0.41		0	0
#	#	#	#	-0.547;0.547	#	0.291;0.528	#	-0.033;0.434	3.282;6.985	-0.086;0.482	#	#	#	0.006;0.014	#	-0.118;0.602	#	#	#	#	#	001000	0.402	0.833	1	471.99	49916	259	0.32		382	1400
#	#	0.025;0.157	#	-0.423;0.645	2.539;7.586	#	0.009;0.151	0.012;0.571	#	-0.194;0.678	#	0.003;0.426	0.061;0.116	0.012;0.013	#	#	#	0.195;0.716	0.075;0.101	#	#	001010	0.027	0.750	1	63.25	265	265	0.50		0	0
-75.883;-62.189	#	-0.008;0.097	#	#	#	0.124;0.387	-0.001;0.110	#	-0.235;4.579	#	0.278;0.523	#	0.005;0.094	0.003;0.009	-0.219;0.938	#	#	#	#	#	#	100000	0.283	0.777	1	579.00	49952	272	0.41		1525	6360
#	#	0.068;0.205	#	-0.423;0.900	#	-0.037;0.263	#	0.012;0.571	-0.094;1.064	#	#	#	#	0.005;0.011	#	-0.141;0.612	#	0.154;0.716	0.075;0.101	0.022;1.723	#	001010	0.014	0.670	1	73.57	332	332	0.45		0	0
#	#	0.061;0.162	#	-0.438;0.550	#	#	0.016;0.234	#	#	0.014;0.396	0.262;0.622	-0.093;0.323	0.028;0.029	0.007;0.012	#	#	#	#	#	-0.080;1.759	-0.453;0.839	000010	0.011	0.647	1	75.89	338	338	0.45		0	0
#	#	#	#	-0.186;0.272	#	-0.065;0.144	#	#	#	#	0.323;0.612	-0.151;0.252	0.039;0.099	0.005;0.010	#	#	-0.635;1.795	0.250;0.664	#	#	-0.168;0.711	001110	0.107	0.640	1	555.54	49954	358	0.41		3301	14978
#	0.031;0.113	-0.035;0.181	0.014;0.209	#	#	0.152;0.311	-0.074;0.026	-0.130;0.485	#	-0.148;0.395	0.378;0.711	0.079;0.574	#	0.003;0.013	#	#	-0.333;1.995	0.183;0.691	0.061;0.124	#	#	000001	0.031	0.793	1	85.09	364	364	0.59		0	0
#	0.031;0.113	-0.035;0.181	#	-0.511;0.529	#	0.152;0.311	#	-0.130;-0.036	#	#	0.378;0.711	#	#	0.003;0.015	#	#	#	#	0.061;0.124	#	#	000001	0.031	0.793	1	85.02	364	364	0.36		0	0
-96.817;-69.430	#	#	#	#	2.535;10.107	-0.116;0.197	0.018;0.190	#	2.921;6.007	#	#	-0.068;0.018	#	#	#	#	#	#	0.051;0.101	#	-0.540;0.645	000110	0.010	0.629	1	90.37	412	412	0.36		0	0
-92.605;-68.641	-0.031;0.101	#	0.183;0.340	#	6.250;10.216	-0.128;0.199	0.199;0.417	#	#	#	#	#	#	0.004;0.011	-0.615;0.442	0.355;0.975	-0.357;1.423	0.136;0.644	#	-0.065;1.965	#	001110	0.647	0.917	1	315.06	49755	489	0.55		126	252
#	#	#	#	#	#	#	-0.019;0.261	#	#	-0.067;0.242	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	#	#	#	#	000001	1.000	1.000	1	184.69	49756	490	0.23		126	126
#	#	#	#	#	#	#	#	-0.316;0.516	3.133;11.403	#	#	#	-0.004;0.108	0.018;0.024	#	#	1.704;4.066	0.309;0.695	0.132;0.187	0.482;1.745	#	110001	1.000	1.000	1	157.13	49795	529	0.36		126	126
#	-0.002;0.161	#	#	#	2.595;9.686	#	#	0.318;0.637	1.541;7.465	-0.063;0.492	0.438;0.673	#	0.056;0.146	0.013;0.018	0.169;0.748	-0.278;0.710	-0.498;1.384	#	0.066;0.105	#	#	000100	0.014	0.678	1	95.83	555	555	0.55		0	0
-113.440;-84.341	0.157;0.313	-0.030;0.205	#	#	5.907;10.232	0.076;0.235	#	-0.160;0.592	#	#	0.136;0.458	-0.084;0.371	0.144;0.228	0.007;0.014	0.278;1.513	#	0.300;1.806	#	0.062;0.101	#	0.766;1.340	000100	1.000	1.000	1	210.40	49928	662	0.64		126	126
