landmass	zone	area	population	language	religion	bars	stripes	colours	circles	crosses	saltires	quarters	sunstars	crescent	triangle	icon	animate	text	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
4	4	-3772.340;3844.340	-130.040;132.040	6	#	#	#	4	#	0	0	0	1	#	#	#	#	0	1101010	1.000	1.000	4	14.25	903	0	0.58		8	8
4	#	#	#	#	2	#	#	#	0	0	0	#	#	#	0	#	#	#	0100100	0.001	0.471	2	67.35	904	1	0.32		8	54
#	#	2306.370;16419.630	-36.120;498.120	1	1	#	13	3	#	0	#	1	50	#	0	0	0	#	1010100	1.000	1.000	5	10.38	905	2	0.63		8	8
5	1	#	-253.400;351.400	10	3	#	#	3	#	#	0	#	0	0	0	0	#	0	1010100	1.000	1.000	2	30.88	906	3	0.63		8	8
#	1	-4804.450;5276.450	#	#	6	#	#	#	1	0	0	0	0	#	0	0	0	0	1010100	1.000	1.000	1	20.50	907	4	0.63		8	8
#	4	-3025.310;3919.310	-171.520;211.520	8	2	0	0	2	#	0	0	0	1	#	0	#	#	0	1100000	0.045	0.733	2	33.89	908	5	0.74		8	15
#	4	-5642.510;5782.510	-193.560;199.560	1	0	#	#	3	0	0	0	0	0	#	0	0	#	#	0100101	1.000	1.000	2	37.75	909	6	0.68		8	8
#	4	#	#	1	#	#	#	6	#	1	#	#	0	0	#	#	#	#	1111101	0.134	0.818	1	30.19	900	8	0.32		15	22
4	1	#	-206.640;206.640	6	#	#	#	#	#	0	#	0	#	#	1	#	0	0	1101010	1.000	1.000	2	14.50	912	9	0.47		8	8
#	1	#	#	6	4	#	#	4	#	#	0	#	0	#	0	1	0	#	0110101	1.000	1.000	3	8.38	913	10	0.47		8	8
5	1	#	#	#	2	#	#	4	#	0	0	#	1	#	1	#	0	0	1010110	0.035	0.714	2	29.08	914	11	0.53		8	16
3	1	#	#	#	0	2	#	4	#	0	0	0	#	0	#	#	#	#	1001110	1.000	1.000	2	26.88	786	12	0.47		8	8
#	3	#	-299.440;315.440	2	#	#	#	3	0	#	0	#	0	0	0	#	0	#	1011000	0.045	0.733	3	50.71	916	13	0.53		8	15
4	#	-6415.640;7921.640	#	10	#	#	0	4	0	#	#	#	#	0	0	#	1	0	1100011	1.000	1.000	3	27.12	788	14	0.53		8	8
#	2	#	#	#	1	0	#	3	#	1	#	#	6	0	0	#	0	#	1010100	1.000	1.000	3	11.75	919	16	0.47		8	8
#	3	#	#	#	0	#	2	#	0	#	0	1	1	0	#	#	#	#	1010100	1.000	1.000	2	23.00	920	17	0.42		8	8
1	4	#	-226.800;226.800	1	1	#	#	#	#	0	0	0	2	#	1	0	0	#	1101110	1.000	1.000	2	10.25	921	18	0.63		8	8
2	3	-3643.440;6213.440	-132.160;160.160	2	0	#	#	#	0	0	0	0	#	0	#	0	#	0	1000100	0.000	0.383	2	62.77	922	19	0.68		8	38
1	#	-4319.390;4417.390	#	2	#	0	#	#	#	#	#	0	#	#	#	0	#	#	1010100	0.297	0.886	3	40.51	929	20	0.32		24	40
1	#	#	#	1	#	0	#	#	1	#	#	0	#	#	#	#	#	#	1111111	0.000	0.467	1	10.54	924	21	0.26		8	15
#	#	#	122.800;425.200	5	6	#	#	#	0	#	0	#	1	0	#	#	#	#	1001000	1.000	1.000	2	12.75	925	22	0.37		8	8
3	1	-2912.260;2912.260	#	#	0	#	0	3	#	1	#	#	#	0	0	1	0	#	1000110	1.000	1.000	3	27.38	797	23	0.58		8	8
#	#	-4245.380;4267.380	#	1	1	0	#	#	0	#	1	#	#	0	#	0	#	0	0101010	0.000	-0.118	2	31.79	927	24	0.47		8	23
#	3	#	-279.440;335.440	#	0	#	#	#	#	#	#	#	#	0	#	#	#	#	0010100	0.000	0.367	2	51.31	974	28	0.21		39	60
#	#	#	-171.360;171.360	1	1	0	#	#	#	1	#	1	5	#	0	#	0	0	1011100	1.000	1.000	1	11.25	933	30	0.53		8	8
#	4	-3848.350;3992.350	#	#	5	#	#	#	#	0	0	#	0	0	0	0	0	0	0110100	0.035	0.714	1	36.60	937	32	0.58		16	24
#	2	-7616.680;7616.680	#	#	#	0	#	#	0	0	#	#	1	#	0	#	0	0	0011100	0.000	0.143	3	30.23	936	33	0.47		8	16
#	4	#	#	1	#	#	5	#	0	0	#	0	#	0	#	#	#	#	1110100	1.000	1.000	1	12.62	937	34	0.37		8	8
6	3	#	-236.880;236.880	#	#	#	0	5	0	0	#	0	#	#	#	1	#	#	1011101	1.000	1.000	1	11.38	938	35	0.47		8	8
#	4	-4620.430;5012.430	#	#	2	#	0	3	0	#	0	0	1	#	#	#	#	#	1101000	1.000	1.000	2	28.00	681	36	0.47		8	8
#	1	#	#	#	#	0	0	2	#	#	#	#	1	0	0	#	0	#	1001000	0.005	0.586	1	33.12	925	37	0.42		15	29
#	#	-6699.600;6741.600	#	2	#	#	#	#	0	0	0	0	0	0	0	0	0	0	0010100	0.001	0.472	2	59.71	931	38	0.63		30	59
#	1	#	#	10	#	0	0	#	0	0	#	0	#	#	0	1	#	0	1001000	1.000	1.000	1	35.38	426	39	0.53		8	8
3	1	-6576.610;7088.610	-335.840;379.840	6	6	0	#	#	0	0	0	0	1	#	0	0	0	#	1011100	1.000	1.000	1	30.62	944	41	0.79		8	8
4	1	-5212.580;7780.580	-258.080;266.080	3	#	#	0	#	#	0	0	#	#	0	0	0	#	#	1011000	0.045	0.733	1	42.30	817	43	0.58		8	15
#	#	-5408.630;8704.630	#	#	#	#	3	#	#	#	#	#	#	0	#	1	#	1	1100100	0.006	0.600	1	16.75	947	44	0.26		15	15
5	#	#	-136.080;136.080	8	2	0	0	2	0	0	#	#	0	0	#	0	0	#	1000100	1.000	1.000	1	48.00	174	45	0.68		8	8
#	1	-3932.370;4356.370	#	8	#	#	2	3	0	0	#	#	#	#	#	1	0	#	1100100	1.000	1.000	1	15.12	949	46	0.47		8	8
#	4	#	-352.800;352.800	1	1	0	0	#	#	#	#	#	#	#	0	#	#	1	1111100	0.127	0.814	3	30.37	982	47	0.42		23	23
1	4	-6468.580;6524.580	-261.120;273.120	3	#	2	#	2	0	0	#	#	0	#	#	0	#	#	1000010	1.000	1.000	2	30.38	951	48	0.58		8	8
#	#	-3831.590;9385.590	-153.440;209.440	#	0	#	#	3	0	0	0	0	#	0	#	#	0	#	0011100	0.000	0.370	1	71.52	307	49	0.53		8	59
#	1	#	-247.000;257.000	7	#	#	#	#	#	#	#	1	0	#	0	#	#	1	1111101	1.000	1.000	3	6.75	953	50	0.37		8	8
#	#	-7084.640;7252.640	-240.920;242.920	#	2	#	3	#	#	#	0	0	0	0	#	0	0	#	1100110	1.000	1.000	1	36.00	954	51	0.53		23	23
6	1	-7728.690;7728.690	#	#	#	#	#	#	#	#	0	#	#	0	0	#	1	#	1011100	0.045	0.733	3	27.77	956	53	0.37		15	15
3	4	-2407.260;3417.260	-128.320;204.320	2	0	0	3	#	#	#	0	#	#	0	0	#	#	0	1001000	1.000	1.000	2	24.88	957	54	0.63		8	8
#	#	4520.550;14601.450	645.120;1370.880	#	#	0	#	#	0	0	0	#	5	#	#	0	0	0	1001000	1.000	1.000	2	8.25	959	56	0.53		8	8
#	1	#	#	10	3	#	#	#	#	0	0	#	#	#	0	#	#	#	1010100	0.041	0.727	6	36.99	960	57	0.32		15	22
#	1	#	#	#	#	0	3	#	0	#	0	#	#	0	0	1	0	0	1101110	0.035	0.714	1	26.74	961	58	0.53		8	16
#	#	-5684.510;5740.510	#	#	5	#	#	#	#	#	0	#	0	0	1	0	0	#	1110100	0.000	0.467	2	25.88	833	59	0.42		8	15
4	2	-3696.330;3696.330	-287.280;287.280	1	1	#	#	3	#	0	#	#	#	#	0	#	0	#	1100100	1.000	1.000	1	51.88	447	60	0.53		8	8
#	#	#	#	#	1	#	3	3	#	#	0	0	0	#	#	0	0	0	1101000	0.000	0.310	1	55.80	836	62	0.47		8	29
#	2	#	#	10	#	0	#	7	0	#	#	#	#	#	#	1	0	#	1011111	1.000	1.000	1	16.38	966	63	0.37		8	8
#	#	#	-352.800;352.800	4	#	#	#	#	0	#	0	0	0	#	#	0	0	0	1010100	0.000	0.467	1	44.76	709	64	0.47		8	15
#	1	#	#	#	6	3	0	3	#	#	0	0	1	#	#	#	0	#	1011000	1.000	1.000	1	4.12	968	65	0.47		8	8
#	#	#	#	#	#	0	0	#	#	#	#	1	0	0	#	0	0	#	1000100	1.000	1.000	3	21.88	969	66	0.37		8	8
3	#	-6720.600;6720.600	-282.240;282.240	1	1	0	1	3	#	0	#	#	0	#	0	#	0	#	1001100	1.000	1.000	3	25.00	971	68	0.63		8	8
#	1	#	-132.360;210.360	#	7	0	0	4	1	#	0	#	#	#	#	1	#	#	1010110	1.000	1.000	1	26.88	972	69	0.47		8	8
#	#	#	-214.720;218.720	3	7	#	#	#	0	#	0	#	1	0	0	#	#	#	1101100	1.000	1.000	3	15.62	975	72	0.42		8	8
#	1	#	-280.240;284.240	#	2	0	#	4	0	#	0	0	1	0	#	0	0	0	1100110	0.148	0.826	2	40.07	718	73	0.68		16	23
#	#	-7280.660;7504.660	-157.280;165.280	#	#	0	#	2	#	0	#	0	#	0	#	#	0	0	0010100	0.000	0.439	1	57.12	931	75	0.47		37	107
6	3	-7053.630;7059.630	#	#	1	0	0	#	0	#	0	1	5	0	#	0	#	#	1010100	1.000	1.000	3	18.75	979	76	0.63		8	8
#	1	-8036.730;8316.730	#	10	4	#	0	#	0	0	0	#	#	1	0	0	0	#	0010101	1.000	1.000	2	11.62	980	77	0.63		8	8
4	4	-2813.280;3459.280	#	#	#	#	0	3	0	0	#	0	0	#	0	0	0	0	1100100	0.045	0.733	1	52.36	470	83	0.68		8	15
#	#	#	#	10	5	#	3	#	#	#	#	0	#	0	0	#	#	#	0111000	0.000	0.429	1	31.34	861	87	0.32		8	16
#	#	-3788.350;4052.350	-181.520;201.520	6	1	#	9	#	0	#	0	1	0	0	#	#	0	0	0010100	1.000	1.000	3	20.75	991	88	0.63		8	8
#	#	-6496.580;6496.580	-317.520;317.520	1	1	0	1	3	0	0	0	#	#	0	0	#	#	0	0010101	0.000	0.467	2	32.19	992	89	0.68		8	15
4	#	-7340.670;7668.670	-199.640;213.640	8	2	#	0	#	#	0	#	#	#	#	0	0	0	0	1000100	0.000	0.371	2	47.24	993	90	0.58		8	30
4	1	#	-168.360;174.360	8	2	#	0	#	#	#	0	#	#	0	#	0	0	0	0100000	1.000	1.000	2	54.00	996	93	0.58		8	8
#	#	-3939.360;4125.360	#	#	6	#	#	#	#	#	0	#	#	#	0	0	#	0	1100100	0.000	0.333	1	52.06	868	94	0.32		8	36
#	#	#	#	#	#	#	#	2	0	0	0	0	1	#	0	#	#	0	0100100	0.000	0.360	3	43.82	998	95	0.42		8	50
#	1	#	-231.840;231.840	#	#	0	#	#	0	#	#	#	0	#	#	0	0	0	1000100	0.003	0.551	5	73.95	906	98	0.42		70	98
6	1	#	#	10	0	#	#	#	0	0	0	0	#	0	#	0	0	#	1011100	1.000	1.000	2	15.29	873	99	0.58		7	7
5	#	#	#	#	#	#	3	4	#	0	0	0	2	#	#	0	0	#	1100110	1.000	1.000	1	19.57	874	100	0.47		7	7
#	1	#	#	5	#	0	0	3	0	0	#	0	#	#	#	#	0	#	1010100	1.000	1.000	1	28.00	747	102	0.47		7	7
#	#	-7916.710;7988.710	-294.480;330.480	7	3	#	#	3	#	0	0	1	#	0	0	0	0	#	1010100	1.000	1.000	1	9.29	877	103	0.63		7	7
2	#	-6820.610;6844.610	-287.280;287.280	#	#	0	0	6	#	1	1	#	0	0	#	1	1	#	1111100	1.000	1.000	3	7.29	878	104	0.63		7	7
5	1	-2881.270;3167.270	-288.000;468.000	#	#	0	#	#	1	#	0	0	#	#	0	#	0	#	1100000	0.000	0.357	1	32.89	880	106	0.53		7	28
#	4	#	#	#	2	#	#	2	0	0	#	0	#	#	0	#	#	0	0101000	0.035	0.714	3	34.87	881	107	0.42		7	14
#	4	#	#	#	1	#	0	#	#	0	0	#	#	0	0	#	1	#	0111100	0.214	0.857	1	27.39	950	108	0.42		14	14
4	2	#	-152.280;170.280	10	1	1	#	#	#	0	#	#	0	#	#	#	0	0	1100100	1.000	1.000	2	25.57	885	111	0.53		7	7
6	#	#	#	#	1	#	#	#	0	1	#	1	4	#	#	#	0	#	1010100	1.000	1.000	3	14.29	887	113	0.37		7	7
2	#	-6629.690;8827.690	-125.040;137.040	2	#	#	3	#	#	#	0	0	0	#	0	0	0	#	1101000	0.000	0.333	1	54.16	889	115	0.58		7	21
1	#	#	-357.840;357.840	#	1	0	0	3	#	#	0	#	7	0	#	#	1	0	1101000	1.000	1.000	3	10.57	890	116	0.58		7	7
3	#	#	#	6	#	0	#	3	#	#	#	#	#	0	0	0	#	#	1010100	0.035	0.714	1	51.88	855	117	0.37		21	28
3	#	#	#	#	6	0	3	#	0	0	#	#	1	#	0	#	1	#	1111100	1.000	1.000	1	16.71	892	118	0.47		7	7
#	#	#	-215.960;529.960	#	2	0	#	2	0	#	0	0	#	0	0	#	#	#	1000100	0.040	0.725	1	51.43	895	121	0.47		14	27
#	4	-3872.540;8224.540	-166.320;166.320	#	1	#	#	2	#	#	#	0	0	0	0	0	#	#	1000100	1.000	1.000	2	25.86	767	122	0.53		7	7
#	1	-5795.520;5853.520	#	#	6	#	0	#	#	#	#	#	1	0	#	0	1	#	1001010	1.000	1.000	2	32.57	897	123	0.42		7	7
4	#	-4810.460;5494.460	-300.400;304.400	10	5	#	#	#	0	0	0	#	1	0	#	#	1	#	1101000	0.047	0.736	2	12.32	886	124	0.58		13	13
#	4	#	#	1	#	#	#	6	#	1	#	#	0	0	#	1	#	#	1111101	0.137	0.820	1	31.11	900	126	0.37		13	19
#	#	-7926.750;8874.750	-213.760;229.760	3	1	#	#	#	#	0	#	0	#	#	0	0	#	#	1101000	1.000	1.000	2	27.86	772	127	0.42		7	7
5	1	#	-174.320;410.320	9	#	0	#	2	#	0	0	#	#	#	#	0	#	0	1000100	1.000	1.000	4	11.86	902	128	0.53		7	7
4	#	-6362.590;6854.590	-130.080;142.080	#	#	#	0	#	#	0	0	#	0	#	#	#	0	0	1000000	0.000	0.280	1	78.98	934	130	0.47		28	48
4	#	-6362.590;6854.590	-130.080;142.080	#	#	#	0	#	#	0	0	#	0	#	#	#	0	0	0101000	0.000	0.387	1	78.98	934	130	0.47		13	48
4	#	#	#	#	2	#	#	#	#	0	0	#	#	#	0	#	#	#	0100100	0.000	0.456	1	61.26	904	130	0.26		6	53
