-	/	0	00	04	0;	0cm	1	1-1/2	1-1/2-year	1-month	1-year	1-year-1-month	1-year-4-month	1-year-5-month	1/2	1/2/01	10	10-month	10-year	10-year-9-month	101	102	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	0	1	0	#	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	000000000000000000000000100000000000000000000	1.000	1.000	1	38.03	49930	103	0.96		80	80
0	0	0	0	0	#	0	0	0	1	#	0	0	0	0	1	1	0	0	1	0	0	0	000000000000000000000000000000000000100000010	1.000	1.000	1	41.05	49367	1475	0.91		68	68
0	0	0	0	0	0	#	#	0	0	0	1	0	0	1	0	#	#	#	0	0	#	#	000000000010000000000000000000000000000000000	1.000	1.000	1	56.65	49990	1839	0.70		153	153
0	0	1	1	0	#	1	0	0	#	0	#	0	0	0	1	0	0	0	0	0	0	0	100000000000000000000000100000000000000000000	1.000	1.000	1	30.55	49532	2930	0.87		75	75
0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	#	0	0	0	1	0	0	1	000000000001000000000000000000000000000001000	1.000	1.000	1	35.31	49785	3183	0.96		74	74
0	0	1	1	0	0	1	0	0	#	1	1	0	#	#	1	0	#	#	0	0	0	1	000000000000000000000000100000000000000001000	1.000	1.000	1	32.29	49907	4595	0.78		72	72
0	0	1	0	0	0	0	0	0	#	1	#	#	0	0	1	1	0	0	0	#	0	0	100000000000000000000000000000000000100000000	1.000	1.000	1	37.63	49426	4759	0.83		63	63
#	0	0	0	#	0	#	#	0	1	#	0	#	0	0	1	#	0	1	1	0	0	0	000000000000000000000000000000000000101000000	1.000	1.000	1	31.88	49893	5378	0.70		71	71
0	0	0	0	0	#	0	0	0	1	0	0	0	0	0	#	1	0	0	1	#	0	0	000000000000000000000000000000000000100000010	1.000	1.000	1	41.07	49367	6787	0.87		60	60
0	0	0	1	0	0	1	0	#	0	1	0	0	0	0	1	0	0	0	0	#	0	0	000000000000000000000000100000000000000100000	1.000	1.000	1	41.97	49384	6804	0.91		60	60
0	0	#	0	0	0	1	0	0	0	#	1	0	0	#	1	0	#	0	0	0	#	0	000000000000000000000000100000000000000000000	0.322	0.978	1	42.46	49920	7109	0.78		137	137
0	0	0	0	#	0	0	0	0	1	0	1	#	0	0	#	1	0	#	0	0	0	#	000000000000000000000000000000000000100000000	1.000	1.000	1	50.34	49866	7931	0.78		67	67
0	0	0	#	0	0	0	0	#	0	1	0	0	#	0	#	#	0	1	0	0	0	1	000000000000000000000000000000000000000001000	1.000	1.000	1	31.34	49443	8153	0.78		58	58
0	0	#	0	0	1	#	#	0	#	#	0	0	0	0	1	#	#	1	0	0	#	0	000000000000000000000000000000000100000000010	1.000	1.000	1	31.34	49551	8261	0.65		66	66
0	0	0	1	0	0	#	#	0	0	1	1	0	0	#	#	#	0	#	#	0	1	#	000000000000000000000000000000000000000001000	0.221	0.970	1	41.30	49844	8314	0.65		133	200
0	0	0	1	0	0	0	0	0	0	1	1	#	0	0	#	0	0	0	#	0	1	0	000000000000000000000000000000000000000001000	1.000	1.000	1	37.66	49604	10734	0.87		62	62
0	0	1	1	0	0	1	0	0	#	#	1	#	#	0	1	0	0	#	0	0	0	1	000000000000000000000000100000000000000001000	1.000	1.000	1	32.30	49907	11037	0.78		62	62
0	#	#	0	0	0	0	#	#	1	0	1	#	0	0	0	1	0	#	#	0	1	1	100000000000000000000000000000000000100000000	1.000	1.000	1	34.34	49942	11717	0.70		61	61
0	#	#	1	0	0	0	0	#	0	#	1	0	0	#	0	0	0	1	#	0	0	1	000000000000000000000000000000000000100001000	1.000	1.000	1	37.29	49693	12113	0.74		60	60
0	#	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	#	0	0	0	1	000000000000000000000000000000000000100000000	1.000	1.000	1	32.76	49803	12223	0.91		60	60
#	0	1	1	0	0	0	1	0	0	#	1	0	0	0	0	1	0	0	#	0	0	0	000000000100000000000000000000000000000001000	1.000	1.000	1	36.58	49879	12944	0.87		59	59
0	0	0	0	0	1	0	#	0	1	0	0	0	0	#	#	1	0	0	#	0	0	0	000000000000000000000000000000000000100000010	1.000	1.000	1	42.45	49729	13439	0.83		109	109
1	0	0	0	1	0	0	#	0	0	0	0	0	#	0	0	1	0	0	#	#	0	0	000010000000000000000000000000000000000000001	1.000	1.000	1	56.79	49876	14876	0.83		56	56
#	0	0	#	#	0	0	1	0	0	0	0	0	#	0	0	0	0	#	1	0	0	0	000000000000000000000000000000000001000000000	1.000	1.000	1	46.65	49524	15009	0.78		55	55
1	1	#	#	#	0	0	#	0	0	0	0	0	1	#	0	#	#	1	0	0	#	0	000010000000000000000000000000001000000000000	1.000	1.000	1	33.03	49946	15431	0.65		55	55
0	#	0	1	0	0	1	0	#	0	1	0	0	0	#	1	0	0	0	0	0	0	0	000000000000000000000000100000000000000100000	1.000	1.000	1	41.98	49384	15514	0.87		48	48
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	#	1	0	0	0	0	000000000000001000000000000000000000000000000	1.000	1.000	1	37.89	49556	16331	0.96		53	53
0	0	#	#	0	#	1	0	0	#	0	1	0	0	0	#	0	0	#	#	0	#	1	000000000000000000000000100000000000000000000	1.000	1.000	1	38.06	49930	17350	0.65		52	52
0	0	1	0	0	0	#	0	0	1	1	#	#	0	0	1	1	0	0	#	#	0	0	100000000000000000000000000000000000100000000	1.000	1.000	1	37.66	49426	17491	0.78		45	45
#	#	1	0	#	0	0	#	0	0	0	0	#	0	0	#	1	0	0	1	0	0	0	000000000000000000000000000000000001000000000	1.000	1.000	1	67.99	49470	17535	0.74		45	45
