Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0.257;0.637	0.047;0.537	0.401;0.651	0.459;0.719	0.473;0.963	#	0.262;0.632	-0.061;0.399	0.343;0.803	0.528;0.908	#	0.095;0.350	0.188;0.618	0.572;0.922	0.024;0.394	-0.036;0.359	#	000001	1.000	1.000	2	48.80	49342	13	0.82		30	30
-0.135;0.135	-0.110;0.310	-0.124;0.126	0.663;1.143	0.435;0.865	-0.052;0.218	0.860;1.140	0.558;0.958	-0.175;0.195	0.805;1.195	#	-0.231;0.231	-0.190;0.190	0.770;1.230	-0.150;0.150	0.134;0.530	-0.056;0.311	010000	1.000	1.000	2	25.43	49348	19	0.94		30	30
0.657;1.087	0.419;0.709	0.676;0.926	0.646;1.036	0.246;0.616	#	0.635;0.935	0.430;0.810	0.087;0.477	0.478;0.748	0.361;0.821	0.198;0.483	0.870;1.130	0.268;0.748	0.272;0.532	0.400;0.657	0.285;0.692	000001	1.000	1.000	2	58.91	49355	26	0.94		30	30
-0.158;0.252	-0.119;0.371	-0.171;0.249	-0.157;0.243	#	0.799;1.179	0.341;0.731	-0.123;0.267	-0.183;0.237	0.434;0.724	0.726;1.196	0.764;1.020	-0.103;0.187	0.227;0.667	#	#	0.726;1.112	000010	1.000	1.000	1	46.25	49382	53	0.82		30	30
-0.079;0.221	-0.212;0.268	-0.118;0.172	-0.175;0.175	-0.237;0.263	0.600;0.880	-0.095;0.165	#	0.712;1.022	0.651;0.981	-0.145;0.225	0.768;1.062	0.702;1.202	-0.179;0.211	0.575;0.925	0.590;0.946	0.710;1.196	010000	1.000	1.000	1	43.08	49396	67	0.94		30	30
-0.113;0.177	-0.116;0.244	-0.186;0.284	-0.153;0.187	-0.103;0.287	-0.110;0.340	-0.108;0.262	-0.025;0.365	-0.190;0.280	-0.196;0.294	-0.110;-0.104	0.009;0.294	-0.192;0.238	0.050;0.450	-0.082;0.228	0.002;0.358	0.018;0.444	000010	0.100	1.000	1	2.00	86	86	1.00		0	0
#	0.054;0.474	0.482;0.822	0.835;1.165	0.840;1.160	#	-0.125;0.155	0.282;0.732	0.052;0.452	-0.031;0.389	0.237;0.587	0.479;0.833	-0.199;0.301	0.160;0.460	0.574;0.914	0.697;0.964	0.097;0.513	000001	1.000	1.000	1	32.76	49446	117	0.88		30	30
0.331;0.621	-0.044;0.326	-0.067;0.303	0.459;0.919	0.090;0.520	0.254;0.624	0.550;0.860	-0.027;0.473	0.411;0.841	-0.071;0.269	0.190;0.540	-0.021;0.293	0.146;0.556	0.218;0.508	0.008;0.418	#	0.330;0.717	000001	1.000	1.000	1	74.46	49515	186	0.94		30	30
-0.138;0.362	-0.051;0.289	-0.006;0.434	#	0.528;0.998	#	0.405;0.665	#	0.431;0.931	0.316;0.656	0.130;0.440	#	0.475;0.975	0.010;0.470	-0.159;0.171	0.000;0.475	0.091;0.399	100000	1.000	1.000	4	54.89	49553	224	0.76		30	30
0.707;1.047	0.424;0.724	0.765;1.235	0.621;1.001	0.535;0.985	0.587;0.867	0.203;0.543	#	0.810;1.190	0.780;1.220	0.363;0.833	0.391;0.744	0.245;0.515	0.604;0.854	#	0.007;0.463	0.511;0.878	000001	1.000	1.000	1	38.69	49567	238	0.88		30	30
-0.100;0.400	-0.132;0.228	0.596;0.926	0.755;1.245	0.390;0.750	0.475;0.845	-0.094;0.206	0.646;0.976	-0.147;0.203	0.219;0.719	-0.096;0.304	#	-0.098;0.342	-0.152;0.188	0.532;0.892	0.597;1.032	0.179;0.606	100010	1.000	1.000	1	46.66	49569	240	0.94		30	30
-0.139;0.181	-0.207;0.273	-0.142;0.278	-0.176;0.264	-0.103;0.177	-0.138;0.192	-0.112;0.178	0.092;0.572	-0.119;0.301	-0.142;0.208	0.231;0.258	-0.105;0.249	-0.335;0.243	-0.085;0.415	-0.240;0.240	0.231;0.498	0.016;0.303	010000	0.100	1.000	1	2.00	248	248	1.00		0	0
-0.049;0.411	0.384;0.654	0.240;0.640	0.137;0.627	0.266;0.656	-0.053;0.347	0.161;0.501	#	0.316;0.766	0.187;0.607	0.225;0.675	-0.004;0.448	0.292;0.702	0.339;0.759	-0.126;0.164	#	0.279;0.666	001010	1.000	1.000	2	113.43	49589	260	0.88		30	30
-0.177;0.183	-0.142;0.148	-0.239;0.241	-0.154;0.156	-0.214;0.216	-0.168;0.192	-0.234;0.236	0.647;1.057	0.153;0.158	-0.164;0.166	-0.178;0.616	0.663;1.085	-0.207;0.213	-0.149;0.151	0.603;1.093	#	0.647;1.104	100000	0.021	0.857	1	7.71	263	263	0.94		0	0
0.153;0.563	0.492;0.852	0.202;0.512	0.295;0.605	0.619;0.909	0.521;0.921	0.322;0.582	0.151;0.431	0.438;0.798	0.615;0.875	#	0.419;0.793	0.340;0.690	0.438;0.718	0.306;0.796	-0.053;0.333	0.437;0.764	001010	1.000	1.000	3	69.55	49623	294	0.94		30	30
0.044;0.534	-0.094;0.156	0.825;1.175	0.855;1.145	0.870;1.130	0.805;1.195	0.179;0.549	0.640;1.020	-0.082;0.218	0.845;1.155	0.504;0.754	0.027;0.420	-0.206;0.214	0.447;0.897	-0.180;0.180	0.554;0.920	#	010000	1.000	1.000	1	33.54	49637	308	0.94		30	30
0.040;0.370	0.105;0.505	0.225;0.685	-0.089;0.361	-0.129;0.271	0.850;1.130	0.019;0.319	0.118;0.378	-0.001;0.389	0.129;0.389	-0.060;0.290	0.086;0.518	-0.139;0.141	-0.231;0.259	0.030;0.500	0.028;0.324	0.031;0.299	000001	1.000	1.000	1	88.73	49647	318	1.00		30	30
0.219;0.619	-0.080;0.290	0.434;0.764	0.099;0.589	0.084;0.584	0.339;0.809	-0.010;0.260	-0.042;0.278	#	0.728;0.998	-0.009;0.371	#	#	0.302;0.672	#	#	0.304;0.780	000001	1.000	1.000	1	76.66	49666	337	0.71		30	30
0.535;0.805	0.209;0.709	0.356;0.856	0.150;0.550	0.218;0.708	0.272;0.522	0.453;0.833	-0.092;0.228	0.337;0.657	0.247;0.727	0.419;0.709	0.028;0.490	0.475;0.795	0.411;0.761	0.025;0.445	0.038;0.503	-0.118;0.240	000100	1.000	1.000	1	50.58	49674	345	1.00		30	30
0.536;0.856	0.460;0.780	0.587;1.087	0.830;1.170	0.795;1.205	-0.249;0.251	0.810;1.190	#	-0.178;0.192	-0.166;0.174	0.865;1.135	-0.125;0.287	-0.118;0.152	#	-0.154;0.326	-0.013;0.372	-0.055;0.283	010000	1.000	1.000	2	34.70	49676	347	0.88		30	30
-0.231;0.269	-0.109;0.151	-0.200;0.210	-0.216;0.234	-0.183;0.197	-0.140;0.150	-0.159;0.181	#	-0.200;0.230	-0.207;0.223	-0.227;0.243	1.043;1.080	-0.141;0.149	-0.207;0.293	0.787;1.087	0.797;1.104	0.735;1.172	000010	0.007	0.762	1	8.43	427	427	0.94		0	0
-0.059;0.291	-0.120;0.180	-0.072;0.398	0.412;0.662	0.343;0.683	0.363;0.683	0.249;0.589	0.242;0.722	-0.124;0.136	0.046;0.306	#	#	-0.134;0.136	-0.139;0.141	0.153;0.503	0.387;0.783	0.322;0.739	000001	1.000	1.000	1	66.48	49762	433	0.88		30	30
0.497;0.837	0.500;0.870	0.495;0.925	0.387;0.787	0.530;0.790	0.287;0.587	0.390;0.810	0.279;0.659	0.351;0.641	0.152;0.632	0.432;0.752	0.368;0.702	0.422;0.892	0.330;0.770	#	#	0.336;0.802	000001	1.000	1.000	1	110.57	49765	436	0.88		30	30
0.277;0.627	-0.082;0.378	0.114;0.504	#	0.229;0.499	0.223;0.503	0.021;0.281	#	0.508;0.998	#	-0.096;0.394	0.552;0.935	0.648;1.058	0.547;0.797	0.505;0.945	0.378;0.684	0.613;1.069	000001	1.000	1.000	2	80.32	49788	459	0.82		30	30
