Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.059;0.158	#	#	-0.193;0.343	-0.122;0.065	-0.399;0.068	-0.556;0.189	#	-0.216;0.239	#	00110000000110	0.001	0.219	2	35.90	70	0	0.60		7	32
-0.133;0.175	#	#	#	#	#	-0.419;-0.036	#	#	#	00110000000110	0.001	0.240	1	27.42	70	1	0.20		6	25
#	-0.146;0.063	-0.216;0.240	#	#	-0.309;0.108	#	-0.201;0.238	-0.176;0.249	#	01100000000110	0.000	0.081	2	38.90	80	2	0.50		5	62
#	#	#	#	-0.225;0.156	#	-0.038;0.284	#	#	-0.167;0.157	11000000000000	0.000	0.071	1	40.27	44	3	0.30		4	56
#	#	#	-0.159;0.090	#	-0.182;0.458	#	-0.088;0.210	#	-0.199;0.180	00001111000110	0.000	0.016	1	40.92	4	4	0.40		1	62
#	-0.237;0.173	-0.257;0.307	-0.143;0.061	#	#	#	#	#	#	10000000000000	0.000	0.014	1	40.30	5	5	0.30		1	70
#	-0.188;0.274	#	#	-0.206;0.103	-0.385;0.133	#	-0.365;0.216	#	-0.139;0.176	00000001100000	0.000	0.016	1	40.20	6	6	0.50		1	63
#	#	-0.174;0.210	#	#	#	-0.228;0.034	#	0.003;0.284	-0.202;0.121	11000110011110	0.000	0.042	1	29.15	7	7	0.40		1	24
#	#	#	#	-0.236;0.123	#	-0.310;0.133	#	#	#	01100000011110	0.000	0.039	2	38.90	35	8	0.20		3	76
#	#	#	#	#	#	-0.240;0.193	-0.135;0.319	-0.154;0.272	#	01100000011110	0.000	0.026	1	38.91	9	9	0.30		2	78
-0.184;0.068	-0.188;0.118	#	#	-0.171;0.095	#	#	-0.147;0.354	#	-0.280;0.288	01100000000110	0.000	0.060	1	40.77	80	10	0.50		3	50
-0.208;0.268	#	-0.319;0.226	-0.293;0.160	-0.167;0.163	#	-0.356;0.147	#	#	#	00000000011110	0.000	0.045	2	40.50	92	11	0.50		3	67
0.103;0.327	#	-0.272;0.193	-0.168;0.157	#	#	-0.300;0.345	-0.227;0.110	#	-0.296;0.170	00000111001110	0.000	0.167	1	19.00	12	12	0.60		1	6
-0.159;0.192	-0.112;0.157	-0.380;0.246	-0.127;0.130	-0.182;0.313	#	-0.394;0.351	#	-0.209;0.178	#	11000000000110	0.000	0.083	2	40.09	65	13	0.70		5	60
#	-0.156;0.046	-0.312;0.341	#	-0.280;0.158	-0.134;0.293	#	#	#	#	01110000000110	0.000	0.035	2	39.83	69	14	0.40		2	57
-0.196;0.064	#	-0.290;0.345	-0.218;0.137	#	#	-0.391;0.344	-0.152;0.256	-0.150;0.227	#	00110000000110	0.000	0.140	1	41.99	70	15	0.60		7	50
-0.136;0.383	-0.221;0.070	#	#	-0.243;0.160	-0.198;0.178	-0.441;0.194	#	#	#	11000000000000	0.000	0.068	1	39.74	44	16	0.50		4	59
-0.021;0.196	#	-0.190;0.061	#	#	#	-0.181;0.131	-0.285;0.248	#	-0.341;0.187	01110000000110	0.000	0.040	1	30.78	17	17	0.50		1	25
-0.040;0.142	-0.274;0.226	#	-0.204;0.060	#	-0.309;0.352	#	#	#	#	11100001111000	0.000	0.042	1	34.60	18	18	0.40		1	24
-0.235;0.186	-0.154;0.085	#	-0.143;0.061	-0.172;0.295	-0.109;0.145	#	#	-0.264;0.374	-0.254;0.220	01100011000110	0.000	0.022	1	41.09	19	19	0.70		1	45
#	-0.317;0.183	#	-0.309;0.228	0.157;0.409	#	#	#	#	#	00011000000110	0.004	0.333	1	18.50	79	20	0.30		2	6
#	#	#	-0.077;0.451	-0.094;0.273	-0.275;0.315	-0.146;0.176	#	-0.128;0.279	#	11000000000110	0.000	0.077	1	39.33	65	21	0.50		4	52
#	#	-0.201;0.201	-0.295;0.196	-0.320;0.205	-0.439;0.243	#	#	#	#	00011000000110	0.000	0.108	2	40.25	79	22	0.40		7	65
#	#	-0.342;0.194	0.101;0.320	#	-0.272;0.277	-0.205;0.228	-0.293;0.193	-0.388;0.240	-0.322;0.152	10000001100000	0.000	0.091	1	22.43	23	23	0.70		1	11
#	#	-0.147;0.094	#	0.057;0.381	#	#	#	#	#	00110000000110	0.000	0.067	1	26.09	24	24	0.20		1	15
#	0.155;0.401	0.049;0.451	#	-0.200;0.001	-0.108;0.401	#	#	#	-0.231;0.077	00001100000110	1.000	1.000	1	6.00	25	25	0.50		1	1
-0.239;0.105	#	#	-0.216;0.146	-0.249;0.154	#	#	-0.296;0.229	#	#	01100000000000	0.000	0.036	1	40.70	26	26	0.40		2	55
-0.271;0.100	#	-0.246;0.193	-0.194;0.327	-0.208;0.187	#	#	-0.105;0.099	-0.199;0.168	#	00000111001110	0.000	0.026	1	38.19	29	29	0.60		1	38
-0.059;0.158	#	-0.263;0.059	-0.193;0.343	-0.122;0.065	#	-0.556;0.189	#	-0.216;0.239	#	00110000000110	0.000	0.154	1	39.36	70	31	0.60		4	26
-0.219;0.104	-0.157;0.126	-0.322;0.340	#	#	-0.065;0.250	#	#	#	#	00110000011110	0.000	0.022	1	38.66	32	32	0.40		1	45
#	#	#	-0.330;0.206	#	#	#	-0.129;0.138	#	-0.248;0.146	00110000000000	0.000	0.070	2	41.65	58	33	0.30		3	43
#	#	#	#	-0.156;0.175	-0.290;0.218	#	-0.165;0.126	-0.315;0.188	#	00001100000110	0.000	0.038	2	40.11	93	34	0.40		2	53
#	#	-0.405;0.212	#	-0.236;0.123	-0.394;0.115	-0.310;0.133	#	#	#	01100000011110	0.000	0.021	1	38.83	35	35	0.40		1	48
#	-0.237;0.196	-0.225;0.133	#	#	#	#	#	-0.113;0.264	#	00001100000000	0.000	0.020	1	38.68	36	36	0.30		1	51
#	-0.183;0.086	#	#	#	-0.042;0.233	#	#	-0.240;0.157	-0.193;0.114	00111100000110	0.000	0.037	1	37.64	37	37	0.40		1	27
#	-0.167;0.356	#	#	-0.074;0.120	-0.472;0.291	#	-0.324;0.233	#	#	11000001100110	0.000	0.027	1	39.66	38	38	0.40		1	37
#	#	-0.293;0.333	#	#	-0.246;0.344	#	#	#	#	11000000000110	0.000	0.100	1	38.41	65	40	0.20		6	60
-0.304;0.172	#	#	-0.320;0.246	#	#	-0.394;0.341	-0.252;0.265	#	-0.175;0.220	01100000011000	0.000	0.020	1	40.11	41	41	0.50		1	50
#	-0.270;0.133	#	-0.178;0.192	#	-0.210;0.157	-0.334;0.381	#	-0.131;0.420	-0.157;0.048	00000000000110	0.000	0.036	1	41.42	45	45	0.60		1	28
-0.187;0.079	-0.290;0.225	-0.131;0.191	#	#	#	#	-0.289;0.174	#	#	00000001100000	0.000	0.024	1	39.57	47	47	0.40		1	42
#	#	#	-0.246;0.087	-0.179;0.352	#	-0.250;0.183	#	-0.303;0.335	#	00000011000110	0.000	0.081	1	41.14	49	49	0.40		3	37
#	#	#	-0.093;0.247	#	#	-0.306;0.399	#	#	#	01100000000110	0.000	0.068	1	40.00	80	50	0.20		3	44
#	-0.247;0.171	-0.276;0.323	-0.241;0.159	-0.187;0.230	-0.171;0.215	#	-0.277;0.240	-0.357;0.253	#	11001100001110	0.000	0.028	1	41.02	51	51	0.70		1	36
#	#	#	-0.107;0.407	#	-0.162;0.469	-0.425;0.119	-0.230;-0.003	0.045;0.422	#	10000000000110	0.000	0.125	1	33.38	54	54	0.50		1	8
0.008;0.421	#	-0.292;0.183	0.155;0.404	#	-0.402;0.279	-0.334;0.280	-0.317;0.177	#	-0.208;0.115	10000111001110	0.031	0.500	1	19.00	55	55	0.70		1	2
#	#	-0.201;0.201	-0.295;0.196	-0.320;0.205	-0.439;0.243	-0.123;0.169	#	-0.308;0.321	#	00011000000110	0.000	0.114	1	40.56	79	56	0.60		4	35
