X1	X1	Class
-2.2823	0.3152	100
-0.4338	-1.3545	100
-0.402	-1.5882	100
0.5659	-1.9246	100
-0.9237	-0.5072	100
-0.7648	-0.3159	100
-2.4091	-2.3686	100
-1.4117	-1.1251	100
-2.3359	-1.4752	100
-1.1323	-0.4614	100
-1.6972	0.0231	100
-2.1521	0.0729	100
-1.004	-0.564	100
-1.7519	-1.3745	100
0.1339	-1.4272	100
0.9922	-2.0504	100
-0.8635	0.0414	100
-0.7475	-1.8035	100
-2.7516	-2.7418	100
0.3393	-1.7397	100
-1.558	0.2979	100
-0.6504	-0.7739	100
-1.18	-1.328	100
-0.6927	-0.8173	100
-1.0773	-0.6526	100
-0.8831	-0.6083	100
-1.9517	-1.1612	100
-0.8813	1.0432	100
-2.3312	-0.0535	100
-1.0971	-3.2154	100
-0.8367	-1.851	100
-1.249	-1.0291	100
-0.7087	-0.5553	100
-0.2084	-1.2547	100
-2.4257	-1.041	100
-2.3017	-1.2906	100
-1.5543	-2.1774	100
-0.617	0.9049	100
-0.6908	-1.1754	100
-1.3178	1.0792	100
-0.4811	-1.7962	100
0.8593	-1.23	100
-1.9651	-2.1707	100
-1.7568	-1.7653	100
-2.6368	-0.1932	100
-0.8805	-0.324	100
-0.2891	-1.783	100
-1.3323	-0.865	100
-0.025	-1.3939	100
-1.2071	-0.2597	100
-0.782	-1.6881	100
-0.0932	0.3915	100
-0.4742	-2.3867	100
-0.7176	-0.7399	100
0.2759	-2.3533	100
-1.8176	-1.649	100
-1.4157	-1.9621	100
-0.7351	0.3853	100
-1.3193	-1.1454	100
-1.5043	-0.7086	100
-0.3557	-2.2897	100
-1.454	-1.8587	100
-0.6466	-0.6891	100
-1.164	-1.0922	100
-1.3898	-0.4091	100
-0.591	0.035	100
-0.7396	-1.8223	100
-2.7653	-1.8681	100
-1.3033	-0.5921	100
-1.9647	-1.1081	100
-0.8999	-0.9885	100
-1.6417	-1.7921	100
-1.0127	-1.8484	100
0.1212	-0.6004	100
0.5221	0.3954	100
-0.2858	-1.3099	100
-2.4294	-0.0088	100
0.3123	0.2251	100
-0.0384	-0.0412	100
-0.7733	0.3563	100
1.1739	-0.6791	100
-1.4123	-2.4438	100
0.6043	-1.7368	100
-1.9897	-1.1382	100
-1.3553	-2.2987	100
-2.0488	-1.4689	100
-0.4968	0.1401	100
-0.6745	-1.6981	100
-1.5825	-0.8184	100
-2.2584	-0.7484	100
-3.4128	0.6504	100
-1.8529	-1.2252	100
-2.2831	-0.4228	100
-0.4087	-2.1014	100
-0.0363	-1.7845	100
-2.7908	-0.7079	100
-2.5629	-0.531	100
-1.4284	-1.4223	100
-0.1527	-0.7543	100
0.1209	-1.6017	100
1.4805	-0.8166	010
0.4124	-0.2444	010
1.2103	0.346	010
1.2948	1.1228	010
2.1988	1.3026	010
0.0718	3.0998	010
1.1788	-0.4703	010
-0.4444	-0.4459	010
1.1061	0.7647	010
1.6562	0.2726	010
0.1071	0.1311	010
0.8284	1.7972	010
2.0279	0.643	010
2.3853	1.392	010
1.0017	1.1702	010
2.2431	-0.3392	010
0.8673	1.6408	010
0.2688	0.7856	010
0.9131	0.446	010
-0.458	0.8718	010
0.3087	1.3291	010
0.4802	1.9245	010
2.1533	1.0854	010
1.1862	-0.443	010
2.7103	1.698	010
1.3724	0.5428	010
1.2959	2.5438	010
0.8128	1.5104	010
0.2541	1.5473	010
1.1418	0.7147	010
0.6853	0.2945	010
-0.3029	0.3893	010
1.4308	-0.0848	010
0.862	0.3109	010
1.2192	1.9889	010
0.5646	0.4995	010
1.5734	0.9502	010
0.4992	2.303	010
1.2977	0.5827	010
1.559	0.8315	010
0.8951	1.5784	010
0.23	1.1668	010
1.1997	1.387	010
1.9012	0.6834	010
-0.8223	0.852	010
1.0954	2.3553	010
1.1181	2.6913	010
1.2928	0.9713	010
0.6832	0.3524	010
1.2829	0.924	010
0.5364	0.5169	010
1.2136	0.3988	010
1.9606	-0.6519	010
0.9241	-0.2969	010
0.0971	0.9754	010
0.9135	0.4586	010
1.3632	2.1063	010
0.7739	-0.5488	010
2.3899	0.223	010
0.6309	1.4206	010
0.6444	1.3924	010
2.3635	0.6317	010
1.2499	0.1605	010
1.4479	-0.9839	010
2.1158	0.6019	010
0.4518	1.3928	010
0.8446	0.8988	010
1.7275	-0.1456	010
0.3335	1.7996	010
1.1998	1.6166	010
0.0266	0.8407	010
1.4261	1.0688	010
2.8705	1.0616	010
0.864	1.1492	010
0.6634	1.6458	010
2.3898	0.6985	010
0.2152	2.3294	010
0.6849	0.0422	010
0.9726	0.7306	010
1.5078	0.3299	010
0.0888	0.443	010
0.1903	-0.3821	010
1.2547	1.9753	010
0.8418	1.0638	010
-0.4022	0.8938	010
-0.4421	1.0805	010
-0.4492	0.4053	010
1.0166	0.6905	010
1.3791	1.7508	010
1.5581	0.9443	010
0.1115	1.4276	010
-0.6824	1.5483	010
1.4955	1.8602	010
0.9295	0.5524	010
0.9852	0.3765	010
0.6602	1.3175	010
0.7393	0.2112	010
2.5911	1.9836	010
0.8713	0.102	010
1.4274	1.9133	010
0.5143	0.3865	110
-0.4075	0.1435	110
0.3738	-0.1745	110
0.1641	-0.0894	110
0.0366	0.1615	110
-0.0753	-0.1489	110
-0.0587	-0.1406	110
0.2792	0.4599	110
-0.2045	-0.0423	110
-0.1928	-0.5	110
0.9772	-0.6934	110
0.5033	0.0775	110
0.3438	-0.1515	110
0.3029	-0.1257	110
-0.008	-0.0442	110
-0.5501	0.0118	110
-0.0604	-0.3223	110
0.2408	-0.008	110
0.2124	-0.6943	110
0.5074	-0.2953	110
-1.8526	2.2887	001
-1.2519	3.2989	001
-1.2515	3.3409	001
-0.367	1.4783	001
0.0047	2.018	001
-1.102	2.5378	001
-2.2393	3.1478	001
-1.023	2.1321	001
-0.3796	1.5395	001
-0.4909	1.9733	001
-1.4083	0.8078	001
-2.8019	1.524	001
-2.6527	1.2312	001
-1.8275	2.1631	001
-1.0343	1.7816	001
-2.0272	3.0247	001
-2.9032	2.1757	001
-0.3185	0.9861	001
-1.9048	2.3929	001
-0.6052	1.1099	001
-1.109	2.1854	001
-2.6675	4.1871	001
-1.4507	1.6086	001
-0.8973	2.1804	001
-2.1133	3.0248	001
-2.121	1.0921	001
-1.2135	3.1219	001
-2.4283	1.6415	001
-2.1097	2.7448	001
-0.3142	1.5226	001
-1.8075	3.548	001
-1.0933	3.0672	001
-1.9372	1.3863	001
-2.8807	3.6361	001
-1.9279	1.7501	001
-2.0023	2.7215	001
-1.3201	2.1591	001
-1.9499	1.9956	001
-0.5963	3.8166	001
-3.3388	0.6238	001
-1.1521	0.6428	001
-1.976	2.7262	001
-0.6372	0.0648	001
-1.439	2.7349	001
-0.0404	3.169	001
-1.8654	0.6705	001
-1.784	1.9709	001
-1.0749	1.4645	001
-0.5577	2.8342	001
-2.5804	1.4336	001
-3.8703	2.7189	001
-1.6703	1.3164	001
